t,phase,phase_time,phase_duration,support_sign,a0,a1,a2,a3,a4,a5,a6,a7,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0,ds,0.02,0.1,1.0,0.6286511054669665,-0.6605243164565094,3.20211325221641,0.5245005857651985,-2.6783468658055547,1.8079752745474238,6.520000225650686,4.735404815646211,0.0,0.0,2.815424601417443e-05,1.4988063464116008e-05,0.0,0.0,0.0,0.0,0.0027504204525033603,0.0014514288149913193,0.0,0.0
0.02,ds,0.04,0.1,1.0,-3.518676179034963,-6.327107355230263,-3.116372312686761,0.206629896736218,-11.625153873194172,-1.0939583196627287,-6.229554736265326,-3.661336773517258,0.0,0.0,5.617478951255415e-05,3.432877418566554e-05,0.0,0.0,0.0,0.0,0.00011540932402171735,0.0005202125784079386,0.0,0.0
0.04,ds,0.06,0.1,1.0,-2.7212949142865495,-1.5815007818457727,2.058152681870664,5.212566847213388,-0.6426733147201713,6.832317352748429,-3.325973367433068,1.7575503504650984,0.0,0.0,5.541550971083076e-05,6.55760406672861e-05,0.0,0.0,0.0,0.0,-0.00015776459474432943,0.0025877094512896212,0.0,0.0
0.06,ds,0.08,0.1,1.0,4.517350908259043,0.4700614888043728,-3.7174962467690422,-4.608626881292097,-2.2886291283366957,1.100975617350247,-5.0480909176936795,-1.0458778743585653,0.0,0.0,2.6807212435854853e-05,0.000100551326274566,0.0,0.0,0.0,0.0,-0.0026529425653793533,0.0009214451596131438,0.0,0.0
0.08,ss,0.0,0.3,1.0,-0.7961250495723886,2.7042279234290385,1.0732956125317044,1.776863545199607,-3.2691430470916973,-0.6480681684638473,3.9198773503066473,7.467155726103804,0.0,0.0,-1.1890737362286922e-05,0.00014568816242350733,0.0,0.0,0.0,0.0,-0.0012576218130168663,0.0035181825339248634,0.0,0.0
0.1,ss,0.02,0.3,1.0,-6.295327660520601,7.569618873695313,6.729377118911523,3.9065570035021375,1.3222781516465176,-1.569614072682139,7.290103417684794,9.801291582249824,-0.003188918225152371,0.006126878323898148,-2.34084724881553e-05,0.00011010211990326322,0.0,0.0,-0.3170138545405547,0.6118090217365142,5.010083632984736e-05,-0.007063533179509847,0.0,0.0
0.12000000000000001,ss,0.04,0.3,1.0,9.008174349330625,6.57551882367185,1.78690205329478,-6.041593161410858,-0.022270665600416142,3.282374675381679,-6.441807318747772,1.9756103009100412,-0.003998121973399164,0.023093999382555554,-8.16264264365289e-05,-9.541239084558394e-05,0.0,0.0,0.23560253325262054,1.0853118410110008,-0.005855370263033446,-0.013412498951134774,0.0,0.0
0.14,ss,0.06,0.3,1.0,2.14931847411115,3.4802136198143425,-5.920589833785945,-3.3085128601951745,-2.1821762357161063,-5.849009538864321,8.69683938565067,-2.4795536422107594,0.0015298028771064038,0.04763636944206321,-0.00019337497591882048,-0.00041012063398075346,0.0,0.0,0.31587244699990996,1.3620243006420014,-0.005304329130242227,-0.01786223392510884,0.0,0.0
0.16,ss,0.08,0.3,1.0,1.6448481473010104,-1.29286272736962,7.917364394010611,6.601804935409196,3.166763114124576,-11.017549403233254,0.26014487129943253,3.4184309538826723,0.009468236909406702,0.07541244828150599,-0.0003340165194276553,-0.0008086743358913168,0.0,0.0,0.47918257907104594,1.405402784250503,-0.00873390523414599,-0.021766573095739587,0.0,0.0
0.18,ss,0.1,0.3,1.0,5.019807879210848,-3.0895352235380042,9.110056816641617,-6.6021548500664675,-3.3076401090760954,4.675249940570111,0.24527306912655827,10.011962918226276,0.02262943322310996,0.101971559309478,-0.0005624815712382688,-0.0012244925989424007,0.0,0.0,0.8332581265776468,1.2514437323472183,-0.014013724647474239,-0.019721876736223318,0.0,0.0
